rpm,phi,rgf,p_ivc_bar,misfire,error,theta_IGN,theta_25,theta_50,theta_75,theta_90,C_eff,T_peak_K,P_TDC_bar,phi_prime,gamma_ivc,IMEP_bar
3734.4384209802283,0.35758848281528555,0.2607242159091657,1.0489658750009696,False,,-13.000039482667855,-3.3986627096309276,1.0464754549905104,6.065116072690221,10.738504431702808,0.9870243815071348,1245.1565270672909,32.9776851955327,0.26435650601512206,1.3651353909549822,1.7830027384409923
2513.106145871061,0.4264026852202454,0.4218930232007496,2.2796586394912195,False,,-16.381687140437684,-8.889963434602562,-6.502653972642963,-4.6368590776038445,-3.4090214310981692,0.9999999999961683,1814.0417235674497,71.24505556000102,0.24650636725175845,1.3629325807739334,7.159079557350778
2557.242587527399,0.4620617771391115,0.32276469010487707,1.71343599852029,False,,-15.140493922573691,-7.186636003094406,-4.550738339281649,-2.5082676845022687,-1.2130748174796815,0.9999999999999993,1982.4151202636554,53.162858299505935,0.3129245508314974,1.3600755142247647,6.777895619428088
3531.870600816227,0.798145388580688,0.5705673675228919,1.189896856599196,True,,,,,,,,,,,,
1507.0224445109825,0.3875464650282274,0.4935405784834167,1.8053533993452993,True,,,,,,,,,,,,
3838.8902886970163,0.7825300459037776,0.2489004626255574,1.4106934476391744,False,,-22.760540100514415,-1.3866713019837438,3.2620693241871037,6.707829676103252,8.650031575292626,1.0,2494.9398580199017,41.91238490156751,0.5877579554599287,1.3429600302330504,9.623869134280769
1824.505036274656,0.24326565097732583,0.26469694836172863,1.8747149516121289,False,,-18.412651946016354,-11.294422105251515,-9.016099601324147,-7.126965007470361,-5.799091170154481,0.9999999999995568,1661.410382018563,59.92470714083854,0.1788739755223983,1.3716716927811456,4.359303345848653
1485.1744900226493,0.5471039021552906,0.29941075739020256,1.1142923214488454,False,,-15.467636431203713,-7.52631333711288,-4.916067823041674,-2.9703930894397703,-1.8109316124973383,0.9999999999932306,2144.7381608542437,34.17151752562335,0.38329510843983977,1.3553989057870819,5.276514613655499
1531.0907208289937,0.491750766992226,0.20305185226286704,1.5073024074728674,False,,-17.14532813097969,-9.671811545105744,-7.582499281299338,-6.1977850252887565,-5.406482118766693,1.0,2193.1738675796355,46.394127129563884,0.39189986290276896,1.3571888310712792,7.303778775592462
904.09624100924,0.600486988017281,0.5184807457005547,1.3099704579400595,False,,-16.407336737309514,-9.590131234133137,-7.184535753684548,-5.247945977489585,-3.7736365384288937,1.0,1888.4716821658303,40.19721435020092,0.2891460466866011,1.355618215843144,4.613492567885242
3890.460241441176,0.34041994077431204,0.2692326200303504,1.7120323430477977,False,,-14.201518451927743,-5.6716463479484505,-2.4417987584231637,0.479879054489272,2.6141026334909743,0.9999999999731451,1782.1921182828712,53.931883166272314,0.24876778820906728,1.3661640062805842,5.453755177049838
3219.1670990976263,0.39170288682654053,0.45091001795237706,2.240391906351029,False,,-15.333882657322171,-7.451497448336131,-4.694821316656607,-2.333520578796278,-0.6488310218809273,1.0,1700.9978106833496,70.46098879291233,0.2150801310955872,1.364978038089141,6.1789173241256
1107.3736159718146,0.3136651216845405,0.3788947700088582,1.3809915949691058,False,,-18.72757398080657,-11.871730851493217,-9.64709970029246,-7.837018399354044,-6.586203499860978,1.0,1694.0066985628239,43.78404046999705,0.19481904754407603,1.3684818205795097,3.4187730271339674
1169.5933576267037,0.3372298192823048,0.23963808086288185,1.4540969988370023,False,,-19.460024605722772,-12.132348964806969,-10.03929409611302,-8.49052022901208,-7.5091542627164145,0.9999999999999817,1873.1728690445193,45.82083353174684,0.2564167125797568,1.3661078427269207,4.697197136625314
2441.7307450665858,0.20003812217972083,0.5870277424458169,1.878142399756788,False,,-16.692511882897865,-9.162542907182775,-6.228392786480727,-3.2422077147163977,-0.5643194924427047,0.9989678793483564,1207.3374602207252,60.63943658500853,0.08261019491345882,1.3757692890142266,1.010534648609781
3416.2455335765726,0.48553276680151075,0.22827047213204518,1.733550886852115,False,,-13.773882402257335,-5.136004474503685,-2.196662855294581,0.04308997762440567,1.4125523790920773,1.0,2130.336826487448,53.3964151731456,0.3746999728881517,1.357805489296761,8.15916065235666
3259.4130018103738,0.6716916936841613,0.542087807570421,2.398819166649231,False,,-21.73286607532424,-6.715472314374099,-3.5008324681959957,-1.0617459677593275,0.49353211232458877,0.9999999994865846,1900.0941866039307,73.04913110200287,0.3075758160916515,1.352727994442307,9.065122569599511
921.6290277251987,0.4848919396005984,0.29391236025268547,2.163797990352003,False,,-24.048541422826855,-15.245229928347353,-13.482796114976273,-12.466585422899001,-11.921620575333483,1.0,2093.326897588294,66.93617565194626,0.34237620516508394,1.3585651521261346,8.844663732557315
2753.4189436973593,0.2986876974203857,0.2335439561648874,2.371987867812429,False,,-17.040893748435007,-9.799333640769603,-7.512444036291337,-5.715982942104679,-4.522457621901246,0.9999999995839252,1799.219257241356,75.13431732627309,0.228930990907048,1.3682638118361459,7.046231289843904
1244.8762961913942,0.4052355030246513,0.4890302738728663,2.4310617858846033,False,,-19.900604356118702,-13.163692357038478,-11.233603716098774,-9.805941751829614,-8.880620991603317,0.9999999998448458,1720.909813430975,76.29351949799309,0.20706307399749735,1.3646481184964243,6.2897425541729435
